Scientific Name,Common Name,Rarity Status
Phacelia pringlei,Pringle's phacelia,G3?
Phacelia pulchella var. atwoodii,Atwood's phacelia,G5T2
Phacelia pulchella var. gooddingii,Goodding's phacelia,G5T2T3
Phacelia pulchella var. sabulonum,beautiful phacelia,G5T1
Phacelia rafaelensis,plateau phacelia,G3
Phacelia salina,Bitter Creek phacelia,G3?Q
Phacelia saxicola,stonecrop phacelia,G3?
Phacelia scopulina var. submutica,Debeque phacelia,G4T2
Phacelia serrata,saw phacelia,G3
Phacelia splendens,patch phacelia,G3
Phacelia stebbinsii,Stebbins' phacelia,G3
Phacelia stellaris,star phacelia,G2?
Phacelia suaveolens ssp. keckii,Keck's phacelia,G4T2
Phacelia suaveolens ssp. suaveolens,sweetscented phacelia,G4T3T4
Phacelia thermalis,heated phacelia,G3G4
Phacelia umbrosa,Colorado Desert phacelia,G3?
Phacelia utahensis,Utah phacelia,G2
Phacelia vallicola,Mariposa phacelia,G3?
Phacelia verna,spring phacelia,G3
Phacelia viscida,tacky phacelia,G3G4
Phacelia welshii,Welsh's phacelia,G2
Phaeoceros pearsonii,Pearson's phaeoceros,G2G4
Phalacroseris bolanderi,Bolander's mock dandelion,G3G4
Phalacroseris bolanderi var. bolanderi,Bolander's mock dandelion,G3G4T3?
Phalacroseris bolanderi var. coronata,Bolander's mock dandelion,G3G4T2T3
Phascum hyalinotrichum,phascum moss,G2G4
Phascum vlassovii,Vlassov's phascum moss,G2?
Phaseolus parvulus,Pinos Altos Mountain bean,G3G4
Phaseolus polystachios var. sinuatus,thicket bean,G5T3?
Phaseolus ritensis,Santa Rita Mountain bean,G3G4
Phemeranthus mengesii,Menges' fameflower,G3
Phialanthus myrtilloides,candlewood,G2G4
Philadelphus crinitus,Trans-Pecos mock orange,G2Q
Philadelphus ernestii,canyon mock orange,G2
Philadelphus floridus,Florida mock orange,G1Q
Philadelphus madrensis,desert mountain mock orange,G3G4
Philadelphus pumilus,dwarf mock orange,G2?
Philadelphus sharpianus,Sharp's mock orange,G1G3Q
Philadelphus texensis,Texas mock orange,G2
Philadelphus wootonii,Wooton's mock orange,G2?Q
Philadelphus zelleri,Zeller's mock orange,G1G3
Philonotis longiseta,philonotis moss,G3G4
Philonotis muehlenbergii,Muehlenberg's philonotis moss,G3G4
Philonotis sphaerocarpa,philonotis moss,G3G4
Philonotis yezoana,philonotis moss,G2G3
Phlox amabilis,Arizona phlox,G2
Phlox buckleyi,swordleaf phlox,G2
Phlox cluteana,Navajo Mountain phlox,G3
Phlox dispersa,High Sierra phlox,G3
Phlox dolichantha,Big Bear Valley phlox,G2
Phlox drummondii ssp. johnstonii,Johnston's phlox,G5T3
Phlox floridana,Florida phlox,G3
Phlox gladiformis,musky phlox,G3?
Phlox griseola,grayleaf phlox,G3?
Phlox griseola ssp. griseola,grayleaf phlox,G3?T3?
Phlox griseola ssp. tumulosa,mound phlox,G3?T2T3
Phlox hirsuta,Yreka phlox,G1
Phlox idahonis,Clearwater phlox,G1
Phlox jonesii,Zion phlox,G2G3Q
Phlox kelseyi ssp. glandulosa,marsh phlox,G4T1T3Q
Phlox kelseyi ssp. salina,saline phlox,G4T3?Q
Phlox longipilosa,longhair phlox,G2Q
Phlox missoulensis,Missoula phlox,G2G3
Phlox mollis,soft phlox,G2G4Q
Phlox nivalis ssp. texensis,Texan phlox,G4T2
Phlox oklahomensis,Oklahoma phlox,G3
Phlox opalensis,opal phlox,G3
Phlox peckii,Peck's phlox,GUGHQ
Phlox pilosa ssp. deamii,Deam's phlox,G5T3T4
Phlox pilosa ssp. sangamonensis,downy phlox,G5T1
Phlox pulchra,Alabama phlox,G2
Phlox pungens,prickly phlox,G3
Phlox richardsonii ssp. richardsonii,Richardson's phlox,G4T3Q
Phlox sibirica,Siberian phlox,G3?
Phlox sibirica ssp. borealis,boreal phlox,G3?T3?
Phlox stansburyi ssp. superba,cold-desert phlox,G5T2T4
Phlox tenuifolia,Santa Catalina Mountain phlox,G3?
Phlox variabilis,variegated phlox,G3G4Q
Phlox variabilis ssp. nudata,variegated phlox,G3G4QT1T3
Phlox variabilis ssp. variabilis,variegated phlox,G3G4QT3T4
Phlox vermejoensis,Vermejo phlox,G1
Phoebanthus grandiflorus,Florida false sunflower,G3G4
Phoebanthus tenuifolius,pineland false sunflower,G3
Phoenix canariensis,Canary Island date palm,G1G3
Pholisma arenarium,desert christmas tree,G3
Pholisma sonorae,sandfood,G2
Pholistoma auritum var. arizonicum,Arizona fiestaflower,G5T2T3
Pholistoma racemosum,racemed fiestaflower,G3?
Phoradendron anceps,goldenfruit mistletoe,G3?
Phoradendron hawksworthii,Hawksworth's mistletoe,G3
Phyla stoechadifolia,southern fogfruit,G3G4
Phyllanthus abnormis var. riograndensis,Rio Grande leaf-flower,G5T3
Phyllanthus ericoides,heather leaf-flower,G2
Phyllanthus liebmannianus ssp. platylepis,Florida leaf-flower,G4T2
Phyllanthus pentaphyllus var. floridanus,fivepetal leaf-flower,G4T2
Phyllostegia ambigua,mountain phyllostegia,G3?
Phyllostegia bracteata,bracted phyllostegia,G1
Phyllostegia brevidens,Mauna Kea phyllostegia,G1
Phyllostegia electra,nehe kuhiwa,G3
Phyllostegia floribunda,Hawai'i phyllostegia,G1
Phyllostegia glabra,ulihi phyllostegia,G3
Phyllostegia glabra var. glabra,ulihi phyllostegia,G3T3
Phyllostegia glabra var. lanaiensis,ulihi phyllostegia,G3TH
Phyllostegia grandiflora,kapana,G3
Phyllostegia helleri,Mt. Kahili phyllostegia,GH
Phyllostegia hillebrandii,Hillebrand's phyllostegia,GH
Phyllostegia hirsuta,Molokai phyllostegia,G1
Phyllostegia hispida,hispid phyllostegia,G1
Phyllostegia kaalaensis,Kaala phyllostegia,G1
Phyllostegia kahiliensis,Kahili phyllostegia,G1?
Phyllostegia knudsenii,Waimea phyllostegia,G1
Phyllostegia lantanoides,Oahu phyllostegia,G3
Phyllostegia macrophylla,largeleaf phyllostegia,G3
Phyllostegia mannii,Mann's phyllostegia,G1
Phyllostegia micrantha,St. John's phyllostegia,GH
Phyllostegia mollis,Waianae Range phyllostegia,G1
Phyllostegia parviflora,smallflower phyllostegia,G1
Phyllostegia parviflora var. glabriuscula,smallflower phyllostegia,G1TH
Phyllostegia parviflora var. lydgatei,smallflower phyllostegia,G1T1
Phyllostegia parviflora var. parviflora,smallflower phyllostegia,G1TH
Phyllostegia pilosa,pilose phyllostegia,G1
Phyllostegia racemosa,kiponapona,G1
Phyllostegia renovans,red-leaf phyllostegia,G1
Phyllostegia rockii,Rock's phyllostegia,GH
Phyllostegia stachyoides,Maui phyllostegia,G1
Phyllostegia variabilis,coastal phyllostegia,GH
Phyllostegia velutina,velvet phyllostegia,G1
Phyllostegia vestita,streambed phyllostegia,G2
Phyllostegia waimeae,Kauai phyllostegia,G1
Phyllostegia warshaueri,Laupahoehoe phyllostegia,G1
Phyllostegia wawrana,fuzzystem phyllostegia,G1
Physalis angustifolia,coastal groundcherry,G3G4
Physalis arenicola,cypresshead groundcherry,G3?
Physalis carpenteri,Carpenter's groundcherry,G3
Physalis caudella,southwestern groundcherry,G3G4
Physalis crassifolia var. crassifolia,yellow nightshade groundcherry,G5T2T3
Physalis lanceolata,sword groundcherry,G3Q
Physalis latiphysa,broadleaf groundcherry,G1
Physalis virginiana var. campaniforma,Virginia groundcherry,G5T1?
Physalis virginiana var. polyphylla,Virginia groundcherry,G5T2T3Q
Physaria acutifolia var. purpurea,sharpleaf twinpod,G5T2
Physaria alpestris,Washington twinpod,G3?
Physaria alpina,Avery Peak twinpod,G2
Physaria bellii,Front Range twinpod,G2G3
Physaria condensata,tufted twinpod,G2G3
Physaria didymocarpa var. lanata,common twinpod,G5T2
Physaria didymocarpa var. lyrata,Idaho twinpod,G5T1
Physaria dornii,Tunp Range twinpod,G1
Physaria eburniflora,Devils Gate twinpod,G3
Physaria floribunda var. osterhoutii,pointtip twinpod,G4?T3?
Physaria grahamii,Graham's twinpod,G1Q
Physaria integrifolia,Snake River twinpod,G3G4
Physaria integrifolia var. integrifolia,Snake River twinpod,G3G4T3T4
Physaria integrifolia var. monticola,Snake River twinpod,G3G4T2T3Q
Physaria iveyana,Ivey's twinpod,G1
Physaria lepidota,Kane County twinpod,G3
Physaria lepidota var. lepidota,Kane County twinpod,G3T2?
Physaria lepidota var. membranacea,Kane County twinpod,G3T2?
Physaria newberryi,Newberry's twinpod,G3G4
Physaria newberryi var. newberryi,Newberry's twinpod,G3G4T3T4
Physaria newberryi var. racemosa,Newberry's twinpod,G3G4T1?Q
Physaria newberryi var. yesicola,Newberry's twinpod,G3G4T1T3
Physaria obcordata,Dudley Bluffs twinpod,G1G2
Physaria repanda,Indian Canyon twinpod,G1?Q
Physaria rollinsii,Rollins' twinpod,G1
Physaria saximontana,Fremont County twinpod,G3
Physaria saximontana var. dentata,Fremont County twinpod,G3T3
Physaria saximontana var. saximontana,Fremont County twinpod,G3T3
Physaria scrotiformis,silver twinpod,G1
Physaria stylosa,Duchesne River twinpod,G1
Physaria vitulifera,roundtip twinpod,G3
Physcomitrium collenchymatum,physcomitrium moss,G2G4
Physcomitrium hookeri,Hooker's physcomitrium moss,G2G4
Physcomitrium pygmaeum,pygmy physcomitrium moss,G1G3
Physocarpus alternans ssp. alternans,dwarf ninebark,G4T3T4
Physocarpus alternans ssp. annulatus,dwarf ninebark,G4T1T2Q
Physocarpus alternans ssp. panamintensis,dwarf ninebark,G4T1T2Q
Physostegia correllii,Correll's false dragonhead,G2
Physostegia godfreyi,Godfrey's false dragonhead,G3
Physostegia longisepala,longsepal false dragonhead,G2G3
Phytolacca sandwicensis,Hawai'i pokeweed,G2?
Pickeringia montana var. tomentosa,chaparral pea,G5T2T4
Picris hieracioides ssp. kamtschatica,hawkweed oxtongue,G5T2T3
Pieris phillyreifolia,climbing fetterbush,G3
Pilea depressa,depressed clearweed,G3?
Pilea leptophylla,Puerto Rico clearweed,G3
Pilea multicaulis,Liquillo Mountain clearweed,G1
Pilea pumila var. deamii,Deam's clearweed,G5T2T4
Pilea richardii,Richard's clearweed,G1
Pilea yunquensis,mountain clearweed,G3
Piloblephis rigida,wild pennyroyal,G3G4
Pilosocereus royenii,Royen's tree cactus,G3
Pinaropappus parvus,small rocklettuce,G3
Pinaropappus roseus var. foliosus,white rocklettuce,G5T2T4
Pinguicula ionantha,violet butterwort,G2
Pinguicula planifolia,Chapman's butterwort,G3?
Pinguicula primuliflora,southern butterwort,G3G4
Pinus albicaulis,whitebark pine,G3G4
Pinus aristata,bristlecone pine,G3
Pinus arizonica var. arizonica,Arizona pine,G4T3T4
Pinus arizonica var. stormiae,Arizona pine,G4T3
Pinus balfouriana ssp. austrina,foxtail pine,G4T2T4Q
Pinus balfouriana ssp. balfouriana,foxtail pine,G4T2T4Q
Pinus contorta var. bolanderi,Bolander beach pine,G5T2
Pinus radiata,Monterey pine,G1
Pinus torreyana,Torrey pine,G1
Piperia candida,whiteflower rein orchid,G3?
Piperia colemanii,Coleman's piperia,G3
Piperia elegans ssp. decurtata,elegant piperia,G4T1
Piperia leptopetala,narrow-petal rein orchid,G3
Piperia michaelii,Michael's piperia,G3
Piperia yadonii,Yadon's piperia,G2
Pipturus albidus,Waimea pipturus,G3
Pipturus forbesii,Forbes' pipturus,G2G3
Pipturus kauaiensis,Kauai pipturus,G2?
Pipturus ruber,red pipturus,G2?
Pisonia albida,corcho bobo,G3
Pisonia floridana,Rock Key devil's-claws,G1
Pisonia rotundata,smooth devil's-claws,G1G3
Pisonia sandwicensis,aulu,G3
Pisonia wagneriana,Kauai catchbirdtree,G1Q
Pittosporum argentifolium,Hawai'i poisonberry tree,G1
Pittosporum confertiflorum,ho'awa,G3
Pittosporum flocculosum,Waianae Range cheesewood,G2
Pittosporum gayanum,Waialeale cheesewood,G3
Pittosporum glabrum,Koolau Range cheesewood,G3
Pittosporum halophilum,cheesewood,G1
Pittosporum hawaiiense,Hawai'i cheesewood,G2?
Pittosporum hosmeri,Kona cheesewood,G2G3
Pittosporum kauaiense,Kauai cheesewood,G3
Pittosporum napaliense,royal cheesewood,G1
Pittosporum terminalioides,cream cheesewood,G2
Pityopsis falcata,sickleleaf silkgrass,G3G4
Pityopsis flexuosa,zigzag silkgrass,G3
Pityopsis oligantha,grassleaf goldaster,G2G4
Pityopsis ruthii,Ruth's goldaster,G1
Plagiobothrys bracteatus var. aculeolatus,bracted popcornflower,G4?T1T3Q
Plagiobothrys canescens var. catalinensis,Catalina popcornflower,G5T3?
Plagiobothrys chorisianus,artist's popcornflower,G3
Plagiobothrys chorisianus var. chorisianus,artist's popcornflower,G3T2Q
Plagiobothrys chorisianus var. hickmanii,Hickman's popcornflower,G3T3Q
Plagiobothrys collinus var. californicus,Cooper's popcornflower,G5T2T4
Plagiobothrys collinus var. gracilis,Cooper's popcornflower,G5T3?
Plagiobothrys collinus var. ursinus,Cooper's popcornflower,G5T2T4
Plagiobothrys distantiflorus,California popcornflower,G3?
Plagiobothrys figuratus ssp. corallicarpus,fragrant popcornflower,G4T1
Plagiobothrys glaber,hairless popcornflower,GH
Plagiobothrys glomeratus,clustered popcornflower,G2G3
Plagiobothrys glyptocarpus,sculptured popcornflower,G3
Plagiobothrys glyptocarpus var. glyptocarpus,sculptured popcornflower,G3T3
Plagiobothrys glyptocarpus var. modestus,sculptured popcornflower,G3THQ
Plagiobothrys hirtus,rough popcornflower,G1
Plagiobothrys humistratus,dwarf popcornflower,G2?
Plagiobothrys hystriculus,bearded popcornflower,G1G2
Plagiobothrys lamprocarpus,shinyfruit popcornflower,GX
Plagiobothrys lithocaryus,Mayacamas popcornflower,GH
Plagiobothrys orientalis,Oriental popcornflower,G3G4
Plagiobothrys parishii,Parish's popcornflower,G1
Plagiobothrys pringlei,Pringle's popcornflower,G3G4
Plagiobothrys salsus,salty popcornflower,G2G3
Plagiobothrys scriptus,scribe popcornflower,G3G4
Plagiobothrys shastensis,Shasta popcornflower,G3
Plagiobothrys stipitatus var. micranthus,stalked popcornflower,G4T3T4
Plagiobothrys strictus,Calistoga popcornflower,G1
Plagiobothrys tener var. subglaber,slender popcornflower,G4T1T3
Plagiobothrys torreyi var. torreyi,Torrey's popcornflower,G4T2Q
Plagiobothrys trachycarpus,roughfruit popcornflower,G3G4
Plagiobothrys uncinatus,Salinas Valley popcornflower,G2
Plagiochasma cuneatum,,G2G4
Plagiochasma wrightii,,G3?
Plagiochila arctica var. arctica,,G4G5TU
Plagiochila arctica var. intermedia,,G4G5T2T4
Plagiochila arctica var. subarctica,,G4G5T2T3
Plagiochila aspleniformis,,G1
Plagiochila caduciloba,,G3
Plagiochila columbiana,,GHQ
Plagiochila diffusa,,G2?
Plagiochila dubia var. dubia,,G4G5T3
Plagiochila dubia var. integrifolia,,G4G5T2
Plagiochila euryphyllon ssp. echinata,,GNRT2
Plagiochila floridana,,G2?
Plagiochila invisus,,G1
Plagiochila miradorensis var. convoluta,,G4T1
Plagiochila schofieldiana,,G1G2
Plagiochila semidecurrens var. alaskana,,G4G5T3
Plagiochila sharpii,,G2G4
Plagiochila sharpii ssp. sharpii,,G2G4T2T4
Plagiochila sharpii ssp. yakusimensis,,G2G4TU
Plagiochila sullivantii,,G2
Plagiochila sullivantii var. spinigera,,G2T1
Plagiochila sullivantii var. sullivantii,,G2T2
Plagiochila virginica,,G3
Plagiochila virginica var. caroliniana,,G3T2
Plagiochila virginica var. euryphylla,,G3THQ
Plagiochila virginica var. virginica,,G3T3
Plagiomnium carolinianum,Carolina plagiomnium moss,G3
Plagiothecium latebricola,plagiothecium moss,G3G4
Plantago bigelovii ssp. californica,coast plantain,G4G5T3T4Q
Plantago elongata ssp. pentasperma,prairie plantain,G4T3?
Plantago hawaiensis,Hawai'i plantain,G1
Plantago pachyphylla,Maui plantain,G3
Plantago princeps,ale,G1
Plantago princeps var. anomala,ale,G1T1
Plantago princeps var. laxiflora,ale,G1T1
Plantago princeps var. longibracteata,ale,G1T1
Plantago princeps var. princeps,ale,G1T1
Plantago sparsiflora,pineland plantain,G3
Platanthera ×shriveri,Shriver's purple fringed orchid,G1
Platanthera blephariglottis var. conspicua,white fringed orchid,G4G5T3T4
Platanthera chapmanii,Chapman's fringed orchid,G2
Platanthera chorisiana,Chimissso's orchid,G3G4
Platanthera holochila,Hawai'i bog orchid,G1
Platanthera integra,yellow fringeless orchid,G3G4
Platanthera integrilabia,white fringeless orchid,G2G3
Platanthera leucophaea,prairie white fringed orchid,G2G3
Platanthera praeclara,Great Plains white fringed orchid,G3
Platanthera tipuloides var. behringiana,Aleutian bog orchid,G4G5T2T3
Platanthera yosemitensis,Yosemite bog orchid,G2
Platanthera zothecina,alcove bog orchid,G2
Platydesma cornuta,Oahu pilo kea,G1
Platydesma cornuta var. cornuta,Oahu pilo kea,G1T1
Platydesma cornuta var. decurrens,Oahu pilo kea,G1T1
Platydesma remyi,Hawai'i pilo kea,G1
Platydesma rostrata,pilo kea lau li'i,G1
Platydesma spathulata,Maui pilo kea,G2G3
Platydictya minutissima,minute platydictya moss,G3
Platyhypnidium pringlei,Pringe's platyhypnidium moss,G2G3
Platyschkuhria integrifolia var. ourolepis,basindaisy,G5T3?
Plectritis congesta ssp. nitida,shortspur seablush,G5T3?
Pleodendron macranthum,chupa gallo,G1
Pleomele aurea,golden hala pepe,G2
Pleomele auwahiensis,Maui hala pepe,G2
Pleomele fernaldii,Lanai hala pepe,G1
Pleomele forbesii,Waianae Range hala pepe,G1
Pleomele halapepe,royal hala pepe,G2
Pleomele hawaiiensis,Hawai'i hala pepe,G1
Pleuridium californicum,California pleuridium moss,G1
Pleuridium ravenelii,Ravenel's pleuridium moss,G3G4
Pleuropogon hooverianus,North Coast semaphoregrass,G2
Pleuroziopsis ruthenica,pleuroziopsis moss,G3
Pluchea longifolia,longleaf camphorweed,G3G4
Pneumatopteris hudsoniana,Hudson's air fern,G3
Pneumatopteris sandwicensis,Hawai'i air fern,G3
Poa abbreviata ssp. marshii,Marsh's bluegrass,G5T2
Poa atropurpurea,San Bernardino bluegrass,G2
Poa curtifolia,little mountain bluegrass,G3
Poa hartzii,Hartz's bluegrass,G3G4
Poa hartzii ssp. alaskana,Alaskan bluegrass,G3G4T1T2
Poa hartzii ssp. hartzii,Hartz's bluegrass,G3G4T3T4
Poa laxiflora,looseflower bluegrass,G3G4
Poa mannii,Olokele Gulch bluegrass,G1
Poa napensis,Napa bluegrass,G1
Poa nervosa,Wheeler bluegrass,G3?
Poa paludigena,bog bluegrass,G3
Poa porsildii,Porsild's bluegrass,G3
Poa pringlei,Pringle's bluegrass,G3?
Poa rhizomata,rhizome bluegrass,G3G4
Poa sandvicensis,Hawai'i bluegrass,G1
Poa sierrae,Sierra bluegrass,G2G3
Poa siphonoglossa,Kauai bluegrass,G1
Poa strictiramea,Big Bend bluegrass,G3
Poa tenerrima,delicate bluegrass,G2G3
Poa unilateralis,San Francisco bluegrass,G3
Podistera eastwoodiae,Eastwood's podistera,G3
Podistera nevadensis,Nevada podistera,G3
Podistera yukonensis,Yukon podistera,G3
Pogogyne abramsii,San Diego mesamint,G1
Pogogyne clareana,Santa Lucia mint,G2
Pogogyne douglasii ssp. parviflora,Douglas' mesamint,G4T3Q
Pogogyne nudiuscula,Otay mesamint,G1
Pohlia bolanderi,Bolander's pohlia moss,G3G4
Pohlia brevinervis,pohlia moss,G1G2
Pohlia cardotii,Cardot's pohlia moss,G2G3
Pohlia drummondii,Drummond's pohlia moss,G3G4
Pohlia obtusifolia,obtuseleaf pohlia moss,G2G4
Pohlia sphagnicola,pohlia moss,G3?
Pohlia tundrae,tundra pohlia moss,G2G3
Polanisia dodecandra ssp. riograndensis,Rio Grande clammyweed,G5T3
Polanisia erosa ssp. breviglandulosa,large clammyweed,G5T3
Polemonium chartaceum,Mason's Jacob's-ladder,G2
Polemonium eddyense,Mount Eddy Jacob's-ladder,G1
Polemonium eximium,skypilot,G3?
Polemonium foliosissimum var. flavum,yellow Jacob's-ladder,G5T3?
Polemonium longii,Long's Jacob's-ladder,GUGHQ
Polemonium nevadense,Nevada Jacob's-ladder,G1Q
Polemonium pauciflorum ssp. hinckleyi,Hinckley's polemonium,G3G5T2Q
Polemonium pectinatum,Washington Jacob's-ladder,G2
Polemonium pulcherrimum ssp. delicatum,Jacob's-ladder,G5T3T4
Polemonium reptans var. villosum,Greek valerian,G5T3T4
Polemonium vanbruntiae,Vanbrunt's polemonium,G3G4
Polyctenium fremontii var. bisulcatum,desert combleaf,G4TH
Polyctenium williamsiae,Washoe combleaf,G2Q
Polygala boykinii var. sparsifolia,Boykin's milkwort,G4T2Q
Polygala cowellii,violet tree,G3
Polygala heterorhyncha,beaked spiny polygala,G3
Polygala hookeri,Hooker's milkwort,G3
Polygala intermontana,Intermountain milkwort,G3?
Polygala leptostachys,Georgia milkwort,G3G4
Polygala lewtonii,Lewton's milkwort,G2G3
Polygala lindheimeri var. parvifolia,shrubby milkwort,G4T3T4
Polygala maravillasensis,Maravillas milkwort,G2
Polygala nitida var. tamaulipana,shining milkwort,G3G5TU
Polygala palmeri,Palmer's milkwort,G3
Polygala piliophora,Huachuca Mountain milkwort,GUGHQ
Polygala rimulicola,Steyermark's milkwort,G3
Polygala rimulicola var. mescalerorum,Mescalero milkwort,G3T1
Polygala rimulicola var. rimulicola,Steyermark's milkwort,G3T3
Polygala rusbyi,Rusby's milkwort,G3
Polygala setacea,coastal plain milkwort,G3G4
Polygala smallii,tiny milkwort,G1
Polygonatum biflorum var. melleum,smooth Solomon's seal,G5THQ
Polygonatum biflorum var. necopinum,smooth Solomon's seal,G5TUTHQ
Polygonella basiramia,Florida jointweed,G3
Polygonella macrophylla,largeleaf jointweed,G3
Polygonella myriophylla,Small's jointweed,G3
Polygonella parksii,Parks' jointweed,G2
Polygonum bidwelliae,Bidwell's knotweed,G3
Polygonum caurianum,Alaska knotweed,G3?
Polygonum glaucum,seaside knotweed,G3
Polygonum heterosepalum,oddsepal knotweed,G2G4
Polygonum hickmanii,Hickman's knotweed,G1
Polygonum hirsutum,hairy smartweed,G3G4
Polygonum leptocarpum,narrowpoint knotweed,G2G4Q
Polygonum marinense,Marin knotweed,G2Q
Polygonum polygaloides ssp. confertiflorum,fruitleaf knotweed,G4G5T3T4
Polygonum polygaloides ssp. esotericum,whitemargin knotweed,G4G5T3
Polymnia cossatotensis,Cossatot Mountain leafcup,G1
Polymnia johnbeckii,Beck's leafcup,G1
Polymnia laevigata,Tennessee leafcup,G3
Polypodium pellucidum var. pellucidum,dotted polypody,G5T3
Polypodium pellucidum var. vulcanicum,dotted polypody,G5T3
Polypodium saximontanum,Rocky Mountain polypody,G3?
Polystichum acrostichoides var. lonchitoides,Christmas fern,G5TUTHQ
Polystichum aleuticum,Aleutian holly fern,G1
Polystichum calderonense,Monte Guilarte hollyfern,G1
Polystichum dudleyi,Dudley's swordfern,G2G3
Polystichum haleakalense,island swordfern,G2G3
Polystichum hillebrandii,Hillebrand's hollyfern,G2?
Polystichum imbricans ssp. curtum,narrowleaf swordfern,G4T3?
Polystichum imbricans ssp. imbricans,narrowleaf swordfern,G4T3T4
Polystichum setigerum,Alaska hollyfern,G3
Polytrichum appalachianum,Appalachian polytrichum moss,G3
Polytrichum sphaerothecium,polytrichum moss,G3G4
Ponthieva brittoniae,Britton's shadow witch,G2G4
Porella bolanderi,,G3
Porella vernicosa ssp. fauriei,,G4T3
Porella wataugensis,Watauga porella,G1G2Q
Porophyllum pygmaeum,dwarf poreleaf,G2
Portulaca biloba,Cuban purslane,G1G2
Portulaca caulerpoides,Puerto Rico purslane,G1
Portulaca molokiniensis,'ihi,G1
Portulaca sclerocarpa,'ihi makole,G2
Portulaca smallii,Small's purslane,G3
Portulaca umbraticola ssp. coronata,wingpod purslane,G5T2
Portulaca villosa,hairy purslane,G1
Potamogeton clystocarpus,little aguja pondweed,G1
Potamogeton floridanus,Florida pondweed,G1
Potamogeton foliosus ssp. fibrillosus,leafy pondweed,G5T2T4
Potamogeton groenlandicus,Greenland pondweed,G3?
Potamogeton hillii,Hill's pondweed,G3
Potamogeton ogdenii,Ogden's pondweed,G1G2
Potamogeton pusillus ssp. gemmiparus,small pondweed,G5T3
Potamogeton subsibiricus,Yenisei River pondweed,G3G4
Potamogeton tennesseensis,Tennessee pondweed,G2G3
Potentilla albiflora,whiteflower cinquefoil,G1G2
Potentilla ambigens,silkyleaf cinquefoil,G3
Potentilla angelliae,Boulder Mountain cinquefoil,G1G2
Potentilla basaltica,Soldier Meadows cinquefoil,G1
Potentilla cottamii,Pilot Range cinquefoil,G1
Potentilla crinita,bearded cinquefoil,G3G4
Potentilla crinita var. crinita,bearded cinquefoil,G3G4T3T4
Potentilla crinita var. lemmonii,Lemmon's cinquefoil,G3G4T1T2
Potentilla cristae,crested cinquefoil,G2
Potentilla diversifolia var. ranunculus,mountainmeadow cinquefoil,G5T3?
Potentilla glandulosa ssp. arizonica,Arizona cinquefoil,G5T3?Q
Potentilla glandulosa ssp. ashlandica,Ashland cinquefoil,G5T3T4
Potentilla glandulosa ssp. ewanii,Ewan's cinquefoil,G5T1
Potentilla glandulosa ssp. hansenii,Hansen's cinquefoil,G5T3T4
Potentilla glandulosa ssp. micropetala,smallpetal cinquefoil,G5T2T3
Potentilla grayi,Gray's cinquefoil,G2G3
Potentilla hickmanii,Hickman's cinquefoil,G1
Potentilla macounii,Macoun's cinquefoil,G1G2
Potentilla morefieldii,Morefield's cinquefoil,G2
Potentilla multijuga,ballona cinquefoil,GX
Potentilla multisecta,featherleaf cinquefoil,G3G4Q
Potentilla newberryi,Newberry's cinquefoil,G3G4
Potentilla oblanceolata,New Mexico cinquefoil,G2
Potentilla rimicola,cliff cinquefoil,G2G4
Potentilla robbinsiana,dwarf mountain cinquefoil,G1
Potentilla rubella,reddish cinquefoil,G3
Potentilla rupincola,rock cinquefoil,G2
Potentilla sierrae-blancae,Sierra Blanca cinquefoil,G2?
Potentilla stipularis var. groenlandica,Greenland cinquefoil,G5T2T3
Potentilla subviscosa var. ramulosa,Navajo cinquefoil,G4?T3?Q
Potentilla subviscosa var. subviscosa,Navajo cinquefoil,G4?T3?
Potentilla thurberi,scarlet cinquefoil,G3G4
Potentilla thurberi var. atrorubens,scarlet cinquefoil,G3G4T3?
Potentilla thurberi var. sanguinea,scarlet cinquefoil,G3G4T1
Potentilla thurberi var. thurberi,scarlet cinquefoil,G3G4T3?
Potentilla uliginosa,Cunningham Marsh cinquefoil,GH
Potentilla wheeleri,Kern cinquefoil,G3?
Pouteria hotteana,redmammee,G1
Prenanthes barbata,barbed rattlesnakeroot,G3
Prenanthes boottii,alpine rattlesnakeroot,G2
Prenanthes carrii,Carr's rattlesnakeroot,G2
Prenanthes roanensis,Roan Mountain rattlesnakeroot,G3
Prenanthes sagittata,arrowleaf rattlesnakeroot,G3G4
Primula alcalina,bluedome primrose,G2
Primula anvilensis,boreal primrose,G3G4
Primula capillaris,Ruby Mountain primrose,G1
Primula cuneifolia ssp. cuneifolia,wedgeleaf primrose,G5T3T4
Primula suffrutescens,Sierra primrose,G3?
Primula tschuktschorum,chukchi primrose,G2G3
Pritchardia arecina,Maui pritchardia,G2
Pritchardia beccariana,Kilauea pritchardia,G1
Pritchardia forbesiana,Mt. Eke pritchardia,G1
Pritchardia hardyi,Makaleha pritchardia,G1
Pritchardia hillebrandii,lo'ulu lelo,G1
Pritchardia kaalae,Waianae Range pritchardia,G1
Pritchardia lanaiensis,Lanai pritchardia,G1
Pritchardia lanigera,lo'ulu,G1
Pritchardia limahuliensis,Limahuli Valley pritchardia,G1
Pritchardia lowreyana,Molokai pritchardia,G1
Pritchardia martii,Koolau Range pritchardia,G1G2
Pritchardia minor,Alakai Swamp pritchardia,G1
Pritchardia munroi,Kamalo pritchardia,G1
