Scientific Name,Common Name,Rarity Status
Anemone quinquefolia var. minima,nightcaps,G5T3
Angadenia berteroi,pineland golden trumpet,G3G4
Angelica ampla,giant angelica,G3G4
Angelica breweri,Brewer's angelica,G3G4
Angelica californica,California angelica,G3?
Angelica callii,Call's angelica,G3
Angelica dentata,coastal plain angelica,G2G3
Angelica grayi,Gray's angelica,G3G4
Angelica scabrida,Charleston Mountain angelica,G1G2
Angelica wheeleri,Utah angelica,G2
Anoda abutiloides,Indian anoda,G3
Anoda thurberi,Arizona anoda,G3G4
Anoectangium tenuinerve,anoectangium moss,G2
Anoectochilus sandvicensis,Hawai'i jeweled orchid,G3
Antennaria arcuata,box pussytoes,G3
Antennaria densifolia,denseleaf pussytoes,G3G4
Antennaria luzuloides ssp. aberrans,rush pussytoes,G5T3T4
Antennaria pulchella,Sierra pussytoes,G3
Antennaria soliceps,Charleston Mountain pussytoes,G1G2
Anthelia julacea,,G3G4
Anthoceros fusiformis,hornwort,G2G4
Anthoceros macounii,Macoun's hornwort,G3G4
Anthoceros punctatus,hornwort,G2G3
Anthoceros scariosus,hornwort,G2G4
Antidesma platyphyllum,ha'a,G3
Antidesma platyphyllum var. hillebrandii,Hillebrand's ha'a,G3T1T2
Antidesma platyphyllum var. platyphyllum,ha'a,G3T3
Antidesma pulvinatum,hame,G2
Antirhea obtusifolia,quina roja,G2?
Antirhea portoricensis,Puerto Rico quina,G1
Antirhea sintenisii,Sintenis' quina,G1
Anulocaulis annulatus,valley ringstem,G2G3
Anulocaulis leiosolenus var. howardii,southwestern ringstem,G4T2
Anulocaulis leiosolenus var. lasianthus,southwestern ringstem,G4T3
Anulocaulis leiosolenus var. leiosolenus,southwestern ringstem,G4T3
Anulocaulis reflexus,Texas ringstem,G2
Apacheria chiricahuensis,apachebush,G2
Aphanisma blitoides,San Diego coastalcreeper,G3G4
Apios priceana,traveler's delight,G3
Aplodon wormskjoldii,Wormskjold's aplodon moss,G2G4
Aquilegia chrysantha var. chaplinei,Chaplin's golden columbine,G4T2
Aquilegia chrysantha var. hinckleyana,Hinckley's golden columbine,G4T1
Aquilegia chrysantha var. rydbergii,Rydberg's golden columbine,G4T1Q
Aquilegia eximia,Van Houtte's columbine,G3?
Aquilegia flavescens var. rubicunda,yellow columbine,G5T1
Aquilegia grahamii,Grahm's columbine,G1
Aquilegia jonesii var. elatior,blue limestone columbine,G4T1?Q
Aquilegia laramiensis,Laramie columbine,G2G3
Aquilegia longissima,longspur columbine,G3
Aquilegia loriae,Lori's columbine,G1G2
Aquilegia micrantha var. mancosana,Mancos columbine,G5THQ
Aquilegia pubescens,Sierra columbine,G3
Aquilegia saximontana,Rocky Mountain blue columbine,G3
Aquilegia scopulorum,Utah columbine,G3?
Aquilegia scopulorum var. calcarea,Utah columbine,G3?T1T2
Aquilegia scopulorum var. scopulorum,Utah columbine,G3?T3?
Arabis beckwithii,Beckwith's rockcress,G2G3Q
Arabis blepharophylla,rose rockcress,G3
Arabis bodiensis,Bodie Hills rockcress,G2
Arabis breweri var. breweri,Brewer's rockcress,G4?T3T4
Arabis breweri var. pecuniaria,Brewer's rockcress,G4?T1
Arabis codyi,Cody's rockcress,G1G2Q
Arabis constancei,Constance's rockcress,G2
Arabis crandallii,Crandall's rockcress,G2
Arabis demissa var. demissa,nodding rockcress,G5T3T4
Arabis dispar,pinyon rockcress,G3
Arabis falcatoria,Grouse Creek rockcress,G1G2
Arabis falcifructa,Elko rockcress,G1G2
Arabis fecunda,Mt. Sapphire rockcress,G2
Arabis fernaldiana var. fernaldiana,park rockcress,G4T3T4
Arabis fernaldiana var. stylosa,park rockcress,G4TUQ
Arabis fructicosa,fruit rockcress,GHQ
Arabis furcata var. olympica,Columbia Gorge rockcress,G4T2
Arabis georgiana,Georgia rockcress,G1
